MS SubClass,Lot Frontage,Lot Area,HouseStyle_MedianPrice,BldgType_MedianPrice,Neighborhood_MedianPrice,Combo_PriceMean,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Cars,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Mo Sold,Yr Sold,hasPool,FireplaceQu_Ex,FireplaceQu_Fa,FireplaceQu_Gd,FireplaceQu_None,FireplaceQu_Po,FireplaceQu_TA,Paved_Street,Fence_Quality,MasVnr_Quality,Garage_Age,GarageFinish_encoded,Garage_Cond,Garage_Qual,Bsmt_Qual,Bsmt_Cond,Bsmt_Exposure,Has_Good_BsmtFin1,Has_Good_BsmtFin2,Has_Iregular_Lot_Shape,Land_Contour,GoodCond1,BadCond1,Central_Air,Kitchen_Qual,PavedDrive_Full,PavedDrive_Partial,Heating_QC,Heating_GasA,Exter_Qual,Exter_Cond,Functional_Encoded,SaleType_Best,SaleType_Good,SaleType_Average,SaleType_Low,SaleCond_High,SaleCond_Typical,SaleCond_Low
0.0,0.410958904109589,0.14241978078478112,0.5185185185185184,0.7402597402597402,0.22426868905742153,0.2028985507246377,0.5555555555555556,0.5,0.6376811594202909,0.1666666666666643,0.07,0.11321757618710135,0.0,0.18878424657534246,0.176759410801964,1.0,0.30335016062413955,0.0,0.0,0.2490580256217031,0.3333333333333333,0.0,0.25,0.0,0.375,0.3333333333333333,0.41666666666666663,0.5,0.4,0.3548387096774194,0.14747191011235955,0.08355795148247978,0.0,0.0,0.0,0.36363636363636365,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.43478260869565216,1.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.8,1.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.5,0.0,1.0,0.25,1.0,0.3333333333333333,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.20205479452054792,0.048246044544158546,0.5185185185185184,0.7402597402597402,0.22426868905742153,0.2028985507246377,0.4444444444444445,0.625,0.6449275362318847,0.18333333333333002,0.0,0.08291991495393339,0.09436435124508519,0.11558219178082191,0.14435351882160394,1.0,0.12895823772372647,0.0,0.0,0.10587792012057273,0.0,0.0,0.25,0.0,0.25,0.3333333333333333,0.24999999999999997,0.0,0.2,0.49059139784946243,0.09831460674157302,0.0,0.0,0.0,0.20833333333333331,0.4545454545454545,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.75,0.0,0.4260869565217391,0.3333333333333333,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,1.0,1.0,0.5,1.0,0.0,0.5,1.0,0.3333333333333333,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.2054794520547945,0.060609035032368135,0.5185185185185184,0.7402597402597402,0.22426868905742153,0.2028985507246377,0.5555555555555556,0.625,0.6231884057971016,0.13333333333333286,0.0675,0.16353649893692418,0.0,0.1738013698630137,0.21751227495908348,1.0,0.22831574116567235,0.0,0.0,0.18745290128108516,0.0,0.0,0.25,0.5,0.375,0.3333333333333333,0.33333333333333337,0.0,0.2,0.20967741935483872,0.2759831460674157,0.04851752021563342,0.0,0.0,0.0,0.4545454545454545,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.45217391304347826,0.3333333333333333,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.25,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.75,1.0,0.0,0.5,1.0,0.3333333333333333,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.0,0.2465753424657534,0.04608661104489471,0.5185185185185184,0.7402597402597402,0.22426868905742153,0.2028985507246377,0.6666666666666665,0.5,0.695652173913043,0.29999999999999716,0.0,0.18869596031183558,0.0,0.4473458904109589,0.3453355155482815,1.0,0.40752638825149157,0.0,0.0,0.33458929917106256,0.3333333333333333,0.0,0.5,0.5,0.375,0.3333333333333333,0.5,0.5,0.4,0.35080645161290325,0.0,0.0,0.0,0.0,0.0,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.3652173913043478,1.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.6666666666666667,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.2352941176470588,0.1815068493150685,0.05856645399518568,0.9382716049382713,0.7402597402597402,0.41061755146262197,0.33333333333333337,0.4444444444444445,0.5,0.9057971014492754,0.7999999999999972,0.0,0.14014883061658398,0.0,0.0586472602739726,0.1518821603927987,1.0,0.13630105553005967,0.3394673123486683,0.0,0.2439713639788998,0.0,0.0,0.5,0.5,0.375,0.3333333333333333,0.33333333333333337,0.25,0.4,0.32392473118279574,0.14887640449438203,0.04582210242587601,0.0,0.0,0.0,0.1818181818181818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.75,0.0,0.11304347826086956,1.0,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.25,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.5,1.0,0.0,0.75,1.0,0.3333333333333333,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.2352941176470588,0.19520547945205474,0.04056182663768725,0.9382716049382713,0.7402597402597402,0.41061755146262197,0.33333333333333337,0.5555555555555556,0.625,0.9130434782608692,0.7999999999999972,0.0125,0.10666194188518781,0.0,0.1386986301369863,0.15155482815057283,1.0,0.13584212941716384,0.32832929782082326,0.0,0.2392614920874152,0.0,0.0,0.5,0.5,0.375,0.3333333333333333,0.41666666666666663,0.25,0.4,0.3158602150537635,0.25280898876404495,0.04851752021563342,0.0,0.0,0.0,0.4545454545454545,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.6666666666666666,0.10434782608695653,1.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.25,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.75,1.0,0.0,1.0,1.0,0.3333333333333333,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.588235294117647,0.06849315068493152,0.016920236509383253,0.5185185185185184,1.0,1.0000000000000002,0.41159420289855075,0.7777777777777777,0.5,0.9347826086956523,0.8500000000000014,0.0,0.10914245216158754,0.0,0.3090753424657534,0.21898527004909984,1.0,0.23038090867370356,0.0,0.0,0.1891484551620196,0.3333333333333333,0.0,0.5,0.0,0.25,0.3333333333333333,0.33333333333333337,0.0,0.4,0.39112903225806456,0.0,0.0,0.16798418972332016,0.0,0.0,0.2727272727272727,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0782608695652174,1.0,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.5,1.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.75,1.0,0.0,1.0,1.0,0.6666666666666667,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.588235294117647,0.07534246575342464,0.01731753488045993,0.5185185185185184,1.0,1.0000000000000002,0.41159420289855075,0.7777777777777777,0.5,0.8695652173913047,0.7000000000000028,0.0,0.046598157335223246,0.0,0.43535958904109584,0.20949263502454993,1.0,0.21707205139972466,0.0,0.0,0.17822155237377543,0.0,0.0,0.5,0.0,0.25,0.3333333333333333,0.24999999999999997,0.0,0.4,0.34005376344086025,0.0,0.11051212938005392,0.0,0.0,0.25,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.1565217391304348,0.6666666666666666,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.25,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.75,1.0,0.0,1.0,1.0,0.6666666666666667,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.588235294117647,0.06164383561643834,0.019112388698029868,0.5185185185185184,1.0,1.0000000000000002,0.41159420289855075,0.7777777777777777,0.5,0.8913043478260878,0.7666666666666657,0.0,0.2090715804394047,0.0,0.1776541095890411,0.2610474631751228,1.0,0.29417163836622306,0.0,0.0,0.2415222305953278,0.3333333333333333,0.0,0.5,0.0,0.25,0.3333333333333333,0.24999999999999997,0.25,0.4,0.40860215053763443,0.16643258426966293,0.20485175202156336,0.0,0.0,0.0,0.1818181818181818,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.13043478260869565,0.6666666666666666,0.6000000000000001,0.6000000000000001,0.8,0.6000000000000001,0.25,1.0,0.0,1.0,0.3333333333333333,0.0,0.0,1.0,0.75,1.0,0.0,1.0,1.0,0.6666666666666667,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
0.2352941176470588,0.13356164383561642,0.02897941059618126,0.9382716049382713,0.7402597402597402,0.41061755146262197,0.33333333333333337,0.6666666666666665,0.5,0.9202898550724647,0.8166666666666629,0.0,0.0,0.0,0.42551369863013694,0.16268412438625207,1.0,0.15924736117485086,0.3757869249394673,0.0,0.2769404672192916,0.0,0.0,0.5,0.5,0.375,0.3333333333333333,0.41666666666666663,0.25,0.4,0.2970430107526882,0.09831460674157302,0.08086253369272238,0.0,0.0,0.0,0.4545454545454545,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.09565217391304348,1.0,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.25,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,1.0,0.75,1.0,0.0,0.75,1.0,0.3333333333333333,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0
